PITCHER_STATS_ID,TEAM_ID,PITCHER_STATS_YEAR,PLAYER_NAME,PITCHER_STATS_ERA,PITCHER_STATS_G,PITCHER_STATS_W,PITCHER_STATS_L,PITCHER_STATS_SV,PITCHER_STATS_HLD,PITCHER_STATS_WPCT,PITCHER_STATS_IP,PITCHER_STATS_H,PITCHER_STATS_HR,PITCHER_STATS_BB,PITCHER_STATS_HBP,PITCHER_STATS_SO,PITCHER_STATS_R,PITCHER_STATS_ER,PITCHER_STATS_WHIP
190,6,2012,니퍼트,3.20 ,29,11,10,0,0,0.524 ,194,156,15,68,8,126,70,69,1.15 
191,3,2012,배영수,3.21 ,26,12,8,0,0,0.600 ,160,159,7,39,3,89,64,57,1.24 
192,14,2012,밴헤켄,3.28 ,28,11,8,0,0,0.579 ,170,166,16,60,3,132,68,62,1.33 
193,2,2012,송승준,3.31 ,28,7,11,0,0,0.389 ,163,158,12,57,8,117,73,60,1.32 
194,13,2012,윤희상,3.36 ,28,10,9,0,0,0.526 ,163 1/3,164,10,49,6,100,66,61,1.30 
195,5,2012,주키치,3.45 ,30,11,8,0,1,0.579 ,177 1/3,179,6,54,4,96,75,68,1.31 
196,4,2012,소사,3.54 ,23,9,8,0,0,0.529 ,147 1/3,137,9,39,8,104,62,58,1.19 
197,3,2012,장원삼,3.55 ,27,17,6,0,1,0.739 ,157,143,9,38,9,127,64,62,1.15 
198,5,2012,리즈,3.69 ,32,5,12,5,0,0.294 ,151 1/3,138,6,68,9,144,68,62,1.36 
199,4,2012,앤서니,3.83 ,32,11,13,1,0,0.458 ,171 2/3,174,15,67,7,94,84,73,1.40 
200,3,2012,탈보트,3.97 ,25,14,3,0,0,0.824 ,138 1/3,136,8,54,5,68,63,61,1.37 
201,9,2012,김혁민,4.06 ,32,8,9,0,1,0.471 ,146 1/3,137,9,45,9,102,69,66,1.24 
202,2,2012,사도스키,4.32 ,29,8,8,0,1,0.500 ,150,154,9,69,6,98,75,72,1.49 
203,6,2012,김선우,4.52 ,28,6,9,0,0,0.400 ,163 1/3,182,13,41,8,63,91,82,1.37 
204,1,2013,찰리,2.48 ,29,11,7,0,0,0.611 ,189,175,6,60,14,116,60,52,1.24 
205,1,2013,이재학,2.88 ,27,10,5,1,0,0.667 ,156,123,12,59,14,144,53,50,1.17 
206,13,2013,세든,2.98 ,30,14,6,0,0,0.700 ,187 1/3,169,14,73,11,160,65,62,1.29 
207,5,2013,리즈,3.06 ,32,10,13,0,0,0.435 ,202 2/3,153,11,88,20,188,78,69,1.19 
208,3,2013,윤성환,3.27 ,27,13,8,0,0,0.619 ,170 2/3,167,16,37,4,122,69,62,1.20 
209,2,2013,옥스프링,3.29 ,30,13,7,0,0,0.650 ,183 1/3,164,10,69,11,144,79,67,1.27 
210,6,2013,유희관,3.53 ,41,10,7,1,3,0.588 ,145 1/3,141,7,52,7,96,60,57,1.33 
211,2,2013,유먼,3.54 ,31,13,4,0,0,0.765 ,193 1/3,186,19,78,5,141,81,76,1.37 
212,1,2013,해커,3.63 ,27,4,11,0,0,0.267 ,178 1/3,163,12,50,17,127,83,72,1.19 
213,14,2013,밴헤켄,3.73 ,29,12,10,0,0,0.545 ,161 2/3,178,11,58,10,137,78,67,1.46 
214,2,2013,송승준,3.76 ,29,12,6,0,0,0.667 ,167 2/3,171,11,64,4,133,74,70,1.40 
215,6,2013,노경은,3.84 ,30,10,10,0,0,0.500 ,180 1/3,171,16,75,6,153,88,77,1.36 
216,13,2013,윤희상,3.87 ,25,8,6,0,0,0.571 ,151 1/3,147,17,44,7,120,72,65,1.26 
217,5,2013,우규민,3.91 ,30,10,8,0,2,0.556 ,147 1/3,162,5,31,12,92,67,64,1.31 
218,3,2013,밴덴헐크,3.95 ,24,7,9,0,0,0.438 ,143 2/3,127,11,48,11,137,67,63,1.22 
